year,month,dmi
1958,3,-0.18074
1958,4,-0.491068
1958,5,-0.917632
1958,6,-1.16016
1958,7,-1.42114
1958,8,-1.6018
1958,9,-1.37965
1958,10,-0.917562
1958,11,-0.225589
1958,12,0.41744
1959,1,0.578179
1959,2,0.697944
1959,3,0.461621
1959,4,-1.02E-02
1959,5,-0.427045
1959,6,-0.691674
1959,7,-0.874538
1959,8,-0.959794
1959,9,-1.0771
1959,10,-0.886374
1959,11,-0.618368
1959,12,-0.528542
1960,1,-0.396785
1960,2,-0.62924
1960,3,-0.817883
1960,4,-1.02894
1960,5,-1.22016
1960,6,-1.50691
1960,7,-1.27044
1960,8,-1.36359
1960,9,-1.65295
1960,10,-1.76329
1960,11,-1.12776
1960,12,-0.860642
1961,1,-0.326631
1961,2,0.369545
1961,3,0.78164
1961,4,0.788481
1961,5,1.17866
1961,6,1.63129
1961,7,1.99678
1961,8,2.51599
1961,9,2.68908
1961,10,2.47741
1961,11,2.28347
1961,12,2.08232
1962,1,1.6852
1962,2,1.33551
1962,3,0.890403
1962,4,0.300682
1962,5,-0.185633
1962,6,-0.559484
1962,7,-0.574068
1962,8,-0.670315
1962,9,-0.614778
1962,10,-0.503115
1962,11,-0.186686
1962,12,6.53E-02
1963,1,0.449558
1963,2,0.550375
1963,3,0.435144
1963,4,0.304657
1963,5,0.182541
1963,6,0.357444
1963,7,0.648898
1963,8,1.37694
1963,9,1.74732
1963,10,1.82106
1963,11,1.24817
1963,12,0.66362
1964,1,-2.42E-02
1964,2,-0.575905
1964,3,-1.23746
1964,4,-1.13055
1964,5,-1.28123
1964,6,-1.58033
1964,7,-1.95716
1964,8,-1.95006
1964,9,-1.72213
1964,10,-1.43847
1964,11,-1.31805
1964,12,-1.05146
1965,1,-0.835519
1965,2,-1.0693
1965,3,-1.26418
1965,4,-1.26188
1965,5,-1.17386
1965,6,-0.969072
1965,7,-0.655315
1965,8,-7.29E-02
1965,9,0.312324
1965,10,0.364437
1965,11,0.305121
1965,12,0.131455
1966,1,-0.128996
1966,2,-0.386131
1966,3,-0.445059
1966,4,-0.282791
1966,5,-0.143485
1966,6,6.37E-02
1966,7,0.473436
1966,8,0.649203
1966,9,0.536368
1966,10,0.364008
1966,11,0.109331
1966,12,-0.329436
1967,1,-7.78E-02
1967,2,-2.29E-02
1967,3,0.248729
1967,4,0.526751
1967,5,0.850506
1967,6,0.901068
1967,7,1.25268
1967,8,1.55439
1967,9,1.65201
1967,10,1.61883
1967,11,1.51284
1967,12,1.45522
1968,1,1.04067
1968,2,0.837918
1968,3,0.85734
1968,4,0.843654
1968,5,0.413179
1968,6,0.257887
1968,7,0.132752
1968,8,4.59E-02
1968,9,-0.39108
1968,10,-0.383042
1968,11,-0.403609
1968,12,-0.488527
1969,1,-0.455849
1969,2,-0.169184
1969,3,-0.176855
1969,4,-0.467073
1969,5,-0.553283
1969,6,-0.783786
1969,7,-0.751745
1969,8,-0.538399
1969,9,-0.12214
1969,10,0.193626
1969,11,0.531345
1969,12,0.596478
1970,1,0.586086
1970,2,0.687738
1970,3,0.706232
1970,4,0.435748
1970,5,-0.168852
1970,6,-0.547526
1970,7,-1.09298
1970,8,-1.55799
1970,9,-1.60525
1970,10,-1.35372
1970,11,-1.19464
1970,12,-1.046
1971,1,-0.762064
1971,2,-0.477685
1971,3,-0.365157
1971,4,-0.217029
1971,5,-0.253261
1971,6,-0.618744
1971,7,-1.09128
1971,8,-1.45708
1971,9,-1.69482
1971,10,-1.42374
1971,11,-1.03184
1971,12,-0.925221
1972,1,-0.434958
1972,2,-0.199671
1972,3,2.35E-02
1972,4,0.575848
1972,5,1.17564
1972,6,1.57964
1972,7,2.06374
1972,8,2.4289
1972,9,2.42994
1972,10,2.29504
1972,11,1.91217
1972,12,1.23528
1973,1,0.711935
1973,2,0.236672
1973,3,0.214322
1973,4,4.49E-02
1973,5,7.66E-02
1973,6,-0.219936
1973,7,-0.585701
1973,8,-0.807065
1973,9,-0.64516
1973,10,-0.486509
1973,11,1.49E-02
1973,12,0.456555
1974,1,0.890307
1974,2,1.01815
1974,3,1.05055
1974,4,0.986405
1974,5,0.879085
1974,6,0.364851
1974,7,0.143832
1974,8,-0.235598
1974,9,-0.703818
1974,10,-0.734657
1974,11,-0.895752
1974,12,-0.963309
1975,1,-1.02036
1975,2,-0.751565
1975,3,-0.634866
1975,4,-0.19889
1975,5,1.02E-02
1975,6,0.185829
1975,7,-0.184813
1975,8,-0.792302
1975,9,-1.2174
1975,10,-1.46148
1975,11,-1.46586
1975,12,-0.872846
1976,1,-0.281496
1976,2,-5.80E-02
1976,3,4.64E-02
1976,4,0.517465
1976,5,0.583793
1976,6,0.603002
1976,7,0.613301
1976,8,0.49127
1976,9,0.108081
1976,10,-1.01E-01
1976,11,-0.117032
1976,12,-9.27E-02
